priority,name,matched_url
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-clapham
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-clerkenwell-london
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-cornwall-where-to-eat-padstow-fowey-bude
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-covent-garden
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-deptford-south-east-london
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-ealing-broadway-common-west-london
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-east-ham-london
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-edinburgh-fringe-festival-2022-where-to-eat
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-elephant-and-castle-south-london
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-finsbury-park-stroud-green-road
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-forest-gate-east-london-e7
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-fulham-putney
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-golders-green
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-green-lanes
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-greenwich
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-groups-london
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-hampstead-highgate
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-harrow-east-london-marginal-general-election-2019
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-hastings-st-leonards-east-sussex-travel-guide
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-in-west-croydon
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-kensington-chelsea-london
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-kings-cross-station
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-kings-road-chelsea-london
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-lake-district-cumbria
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-lewisham-south-east-london-greenwich-sparrow
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-listed-buildings-london-quirky-historic
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-london-art-galleries
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-london-fields-broadway-market-hackney
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-london-parks-hyde-park-regents-park-clapham-common
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-london-thames-view-waterside
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-margate-kent
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-new-cross
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-newington-green-london
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-oxford-street-oxford-circus
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-oxford-university-travel-guide
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-peckham
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-pubs-new-forest
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-pubs-tottenham-london
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-shoreditch-london
