batch_order,batch_key,batch_folder,input_row_number,url
1,maps,01_maps,162,https://london.eater.com/maps/best-dumplings-london-restaurants
1,maps,01_maps,163,https://london.eater.com/maps/best-egg-dishes-london-hoppers-brat-barrafina
1,maps,01_maps,164,https://london.eater.com/maps/best-famous-london-restaurants-visitors-tourists
1,maps,01_maps,165,https://london.eater.com/maps/best-fika-london-swedish-buns-bakeries
1,maps,01_maps,166,https://london.eater.com/maps/best-french-restaurants-london
1,maps,01_maps,167,https://london.eater.com/maps/best-greasy-spoon-cafes-london-full-english-breakfast-fry-up
1,maps,01_maps,168,https://london.eater.com/maps/best-greek-cypriot-restaurants-palmers-green
1,maps,01_maps,169,https://london.eater.com/maps/best-halal-restaurants-london
1,maps,01_maps,170,https://london.eater.com/maps/best-hot-pot-restaurants-london-sichuan-cantonese
1,maps,01_maps,171,https://london.eater.com/maps/best-hummus-london-restaurants
1,maps,01_maps,172,https://london.eater.com/maps/best-ice-cream-london-restaurants
1,maps,01_maps,173,https://london.eater.com/maps/best-iced-coffee-london
1,maps,01_maps,174,https://london.eater.com/maps/best-indian-restaurants-london
1,maps,01_maps,175,https://london.eater.com/maps/best-italian-caffs-not-cafes-london-instagram
1,maps,01_maps,176,https://london.eater.com/maps/best-italian-deli-london-restaurants
1,maps,01_maps,177,https://london.eater.com/maps/best-italian-restaurants-london
1,maps,01_maps,178,https://london.eater.com/maps/best-korean-restaurants-new-malden
1,maps,01_maps,179,https://london.eater.com/maps/best-late-night-24-hour-restaurants-london
1,maps,01_maps,180,https://london.eater.com/maps/best-lebanese-restaurants-london
1,maps,01_maps,181,https://london.eater.com/maps/best-live-fire-restaurants-london
1,maps,01_maps,182,https://london.eater.com/maps/best-london-cafes-freelancers-work-wifi
1,maps,01_maps,183,https://london.eater.com/maps/best-london-pubs
1,maps,01_maps,184,https://london.eater.com/maps/best-london-restaurant-fireplaces-christmas-2018
1,maps,01_maps,185,https://london.eater.com/maps/best-london-restaurants-hangover-cure
1,maps,01_maps,186,https://london.eater.com/maps/best-london-restaurants-kurdish-kashmiri-basque-uyghur
1,maps,01_maps,187,https://london.eater.com/maps/best-lunar-new-year-menus-london-restaurant-feasts
1,maps,01_maps,188,https://london.eater.com/maps/best-martinis-london-cocktail-bars
1,maps,01_maps,189,https://london.eater.com/maps/best-new-cocktail-bars-london
1,maps,01_maps,190,https://london.eater.com/maps/best-new-restaurants-london-heatmap
1,maps,01_maps,191,https://london.eater.com/maps/best-north-indian-restaurants-london
1,maps,01_maps,192,https://london.eater.com/maps/best-offal-nose-to-tail-restaurants-london
1,maps,01_maps,193,https://london.eater.com/maps/best-outdoor-restaurants-london-shelter-rain
1,maps,01_maps,194,https://london.eater.com/maps/best-pasta-restaurants-london
1,maps,01_maps,195,https://london.eater.com/maps/best-pies-london-restaurants
1,maps,01_maps,196,https://london.eater.com/maps/best-polish-restaurants-london-pierogi
1,maps,01_maps,197,https://london.eater.com/maps/best-pre-theatre-restaurants-london-west-end
1,maps,01_maps,198,https://london.eater.com/maps/best-puddings-london-restaurants
1,maps,01_maps,199,https://london.eater.com/maps/best-ramen-restaurants-london
1,maps,01_maps,200,https://london.eater.com/maps/best-rice-dishes-london-tahdig-paella-jollof-nurungji
1,maps,01_maps,201,https://london.eater.com/maps/best-romantic-restaurants-london
1,maps,01_maps,202,https://london.eater.com/maps/best-rum-bars-cocktails-london
1,maps,01_maps,203,https://london.eater.com/maps/best-russian-restaurants-london
1,maps,01_maps,204,https://london.eater.com/maps/best-seafood-restaurants-london
1,maps,01_maps,205,https://london.eater.com/maps/best-secret-gardens-london-restaurants
1,maps,01_maps,206,https://london.eater.com/maps/best-set-menus-london-restaurant-deals
1,maps,01_maps,207,https://london.eater.com/maps/best-snacks-east-london-food
1,maps,01_maps,208,https://london.eater.com/maps/best-snacks-london-restaurants-central
1,maps,01_maps,209,https://london.eater.com/maps/best-south-indian-restaurants-london-kerala-tamil-hyderabad
1,maps,01_maps,210,https://london.eater.com/maps/best-southall-restaurants-indian-cuisine
1,maps,01_maps,211,https://london.eater.com/maps/best-spanish-restaurants-london
1,maps,01_maps,212,https://london.eater.com/maps/best-sri-lankan-restaurants-london-hoppers-jaffna-appam
1,maps,01_maps,213,https://london.eater.com/maps/best-steak-restaurants-london
1,maps,01_maps,214,https://london.eater.com/maps/best-summer-restaurants-london
1,maps,01_maps,215,https://london.eater.com/maps/best-tacos-mexican-restaurants-london
1,maps,01_maps,216,https://london.eater.com/maps/best-thanksgiving-dinners-london-restaurants-2019
1,maps,01_maps,217,https://london.eater.com/maps/best-turkish-restaurants-london
1,maps,01_maps,218,https://london.eater.com/maps/best-valentines-day-dinner-london-restaurants-2020
1,maps,01_maps,219,https://london.eater.com/maps/best-valentines-day-meal-kits-london-restaurants
1,maps,01_maps,220,https://london.eater.com/maps/best-vegetarian-restaurants-london
1,maps,01_maps,221,https://london.eater.com/maps/best-vietnamese-restaurants-london
1,maps,01_maps,222,https://london.eater.com/maps/best-western-indian-restaurants-london
1,maps,01_maps,223,https://london.eater.com/maps/best-wine-bars-london
1,maps,01_maps,224,https://london.eater.com/maps/best-wine-bars-london-terrace-outdoor
1,maps,01_maps,225,https://london.eater.com/maps/best-wine-bars-natural-london-pet-nat
1,maps,01_maps,226,https://london.eater.com/maps/best-wine-lists-london-restaurants
1,maps,01_maps,227,https://london.eater.com/maps/best-wings-london-restaurants
1,maps,01_maps,228,https://london.eater.com/maps/cheese-best-places-london-delis-restaurants-london-fondue-raclette-cheeseboard-toasties
1,maps,01_maps,229,https://london.eater.com/maps/general-election-2019-best-places-to-eat-carshalton-and-wallington
1,maps,01_maps,230,https://london.eater.com/maps/london-best-jerk-chicken-jamaican-jerk-restaurants
1,maps,01_maps,231,https://london.eater.com/maps/london-best-old-school-italian-restaurants
1,maps,01_maps,232,https://london.eater.com/maps/london-marathon-2019-food-drink-restaurants
1,maps,01_maps,233,https://london.eater.com/maps/london-restaurants-best-views
1,maps,01_maps,234,https://london.eater.com/maps/londons-best-hidden-restaurants
1,maps,01_maps,235,https://london.eater.com/maps/most-instagrammable-dishes-london-restaurants-2019
1,maps,01_maps,236,https://london.eater.com/maps/nonalcoholic-cocktails-london-best-bars
1,maps,01_maps,237,https://london.eater.com/maps/nowruz-2022-best-persian-food-london
1,maps,01_maps,238,https://london.eater.com/maps/restaurants-open-on-monday-london-best
1,maps,01_maps,239,https://london.eater.com/maps/solo-dining-london-restaurants
1,maps,01_maps,240,https://london.eater.com/maps/westfield-stratford-restaurants-food-drink
1,maps,01_maps,241,https://london.eater.com/maps/autumn-thanksgiving-specials-london-restaurants-2022
1,maps,01_maps,242,https://london.eater.com/maps/best-afternoon-tea-london
1,maps,01_maps,243,https://london.eater.com/maps/best-bacon-sandwiches-bacon-butties-london
1,maps,01_maps,244,https://london.eater.com/maps/best-bagels-london
1,maps,01_maps,245,https://london.eater.com/maps/best-basque-cheesecake-london
1,maps,01_maps,246,https://london.eater.com/maps/best-biryanis-london
1,maps,01_maps,247,https://london.eater.com/maps/best-breakfast-sandwiches-london
1,maps,01_maps,248,https://london.eater.com/maps/best-brunch-london
1,maps,01_maps,249,https://london.eater.com/maps/best-burgers-london
